OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Estimated_Installation_Efficiency,Unit_installation_price,Date_added,aoi,Roof_quality,solar_panels,Comment
295,6c2eef6f-5649-4908-b509-d716eaa0af7a,SouthAfrica,44.32,23.94,4.64,7674.38,Single-family residential,29.94,,1652.57,173.17,,,Middelburg,,,
296,35f71561-d2f2-4eb1-950e-b876e02ac851,SouthAfrica,30.64,15.11,2.93,4611.49,Single-family residential,21.39,,1573.05,150.51,,,Middelburg,,,
297,0f5b35ea-a987-4480-8028-5929d41e5673,SouthAfrica,21.36,7.78,1.51,2136.76,Single-family residential,28.17,2.06,1415,100.03,,,Middelburg,,,
298,0d84fb30-fd87-4807-a42f-50a654f91bca,SouthAfrica,35.67,17.79,3.45,5983.13,Single-family residential,23.82,2.68,1734,167.72,,,Middelburg,,,
299,3bdb2ce8-8207-486e-a62a-8b7ea8f51abd,SouthAfrica,71.09,36.57,7.09,10203.77,Single-family residential,22.93,,1439.84,143.54,,,Middelburg,,,
300,0673f9f2-d81d-40c8-ac7f-a87805fd8b89,SouthAfrica,23.8,11.25,2.18,3509.59,Single-family residential,19.85,2.27,1608,147.46,,,Middelburg,,,
301,c807c44c-ac48-4bbf-970c-38ae0631704e,SouthAfrica,48.13,25.53,4.95,7243.73,Single-family residential,18.26,2.01,1462.39,150.52,,,Middelburg,,,
302,6193176d-5606-4264-b84f-39aa9cf4ac84,SouthAfrica,6.61,1.74,0.34,594.92,Single-family residential,0,,1765,90.03,,,Middelburg,,,
303,9f80c1df-eced-47c0-bed1-2150b03a5b0d,SouthAfrica,21.7,9.2,1.79,2438.11,Single-family residential,22.42,,1365.88,112.34,,,Middelburg,,,
304,52aefbd3-2538-433c-8041-9c3662256267,SouthAfrica,24.83,11.21,2.17,3529.76,Single-family residential,18.67,2.33,1623,142.14,,,Middelburg,,,
305,ddd78772-8b55-4c5d-a2ea-bb786b3b77d8,SouthAfrica,15.71,5.28,1.02,1697.89,Single-family residential,23.24,,1656.5,108.06,,,Middelburg,,,
306,626b5aa6-ecd7-423a-9fb4-d205cc39dfe6,SouthAfrica,21.67,9.78,1.89,2895.68,Single-family residential,29.08,,1528.11,133.63,,,Middelburg,,,
307,1f0c4e69-4df2-41a7-808a-2eaabd0d179b,SouthAfrica,36,17.63,3.42,5198.81,Single-family residential,23.69,2.05,1521.98,144.41,,,Middelburg,,,
308,4b039aff-6c73-4c41-9603-0a1acd383aff,SouthAfrica,9.19,3.04,0.59,744.99,Single-family residential,23.03,,1261.28,81.05,,,Middelburg,,,
309,1d72dc5c-0177-495b-926d-168e95f0b538,SouthAfrica,25.62,12.31,2.39,3079.18,Single-family residential,25,2.26,1289.5,120.19,,,Middelburg,,,
310,03acd7a9-e76f-46fe-9a88-2fee1b78863b,SouthAfrica,52.46,23.61,4.58,5993.6,Single-family residential,22.38,2.52,1308.48,114.26,,,Middelburg,,,
311,40db3dfb-5d1a-4e97-8d0e-f90c8fc30fa5,SouthAfrica,24.88,11.86,2.3,3423.15,Single-family residential,17.1,,1486.69,137.6,,,Middelburg,,,
312,582c38cc-2f39-42a7-8680-666e342fc9cc,SouthAfrica,49.65,25.03,4.86,6197.68,Single-family residential,29.39,2.33,1276.45,124.83,,,Middelburg,,,
313,5cdb21e7-9e82-4af2-8062-1414db4a8636,SouthAfrica,95.93,57.5,11.16,16364.47,Single-family residential,17.35,2.19,1466.91,170.59,,,Middelburg,,,
314,4c1dc723-508d-45bc-9e79-69136b47f475,SouthAfrica,40.47,21.52,4.18,6605.86,Single-family residential,27.89,,1582,163.22,,,Middelburg,,,
315,9da78a45-02c7-431c-a058-c3d7c6321386,SouthAfrica,37.46,19.6,3.8,6012.22,Single-family residential,27.32,,1581,160.49,,,Middelburg,,,
316,6f3d0abe-884f-4d54-8faa-a549c554de9c,SouthAfrica,148.31,81.32,15.78,24329.7,Single-family residential,29.81,3.37,1542.22,164.05,,,Middelburg,,,
317,1bf6196b-6cc7-4e2f-897b-e6eb6920ad86,SouthAfrica,24.15,6.86,1.33,2072.19,Single-family residential,20.34,,1556.14,85.81,,,Middelburg,,,
318,bb8da0c0-6f1e-4c2d-b6fc-dde4d3e6afc3,SouthAfrica,20.63,9,1.74,2816.32,Single-family residential,22.41,,1614.11,136.52,,,Middelburg,,,
